City_ID,City,Country,Max Temp,Current Situation,Lat,Lng,Hotel Name
25,Urumqi,CN,29.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
27,Kharp,RU,21.45,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
34,Iqaluit,CA,22.73,light snow,63.7506,-68.5145,Frobisher Inn
39,Longyearbyen,SJ,24.64,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
47,Kargasok,RU,21.78,scattered clouds,59.0556,80.8572,Hotel Kargasok
58,Kangaatsiaq,GL,31.96,light snow,68.3065,-53.4641,Nukissiorfiit
85,Husavik,IS,30.29,broken clouds,66.0449,-17.3389,Bjarnabúð
89,Narsaq,GL,26.82,scattered clouds,60.9167,-46.05,Sleep In Narsaq
105,Paamiut,GL,33.13,snow,61.994,-49.6678,Pistut
141,Atbasar,KZ,25.12,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
143,Apatity,RU,34.25,snow,67.5641,33.4031,Guest House
156,Sovetskiy,RU,29.73,light snow,61.3614,63.5842,Apartment on Kievskaya 29
164,Khromtau,KZ,25.66,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
166,Maniitsoq,GL,31.3,snow,65.4167,-52.9,Hotel Heilmann Lyberth
170,Lakselv,NO,30.02,overcast clouds,70.0513,24.9718,Lakselv Hotel
190,Malinovoye Ozero,RU,28.2,overcast clouds,51.6753,79.7825,Baza Otdykha
213,Ilulissat,GL,30.22,broken clouds,69.2167,-51.1,Hotel Arctic
218,Shubarkuduk,KZ,30.52,scattered clouds,49.1447,56.4872,Sirius
224,Mehamn,NO,33.75,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
252,Parabel,RU,22.06,few clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
254,Verkhnetulomskiy,RU,33.93,overcast clouds,68.6073,31.7962,Отель Уют
258,Sarapulka,RU,31.93,overcast clouds,56.8678,61.0552,"Psk ""Shilovskiy"""
266,Bakchar,RU,24.4,overcast clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
273,Aqtobe,KZ,30.29,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
294,Nytva,RU,33.69,overcast clouds,57.9404,55.334,"Ooo ""Gostinichnyy Kompleks ""Nytvenskiy"""
305,Kjollefjord,NO,33.62,light snow,70.9457,27.3465,Hotel Nordkyn
312,Qasigiannguit,GL,30.45,overcast clouds,68.8193,-51.1922,Almost HOME
315,Dalvik,IS,28.33,broken clouds,65.9702,-18.5286,Dalvík Hostel
328,Krutikha,RU,24.19,broken clouds,53.9599,81.2093,"Otel' ""Endryu"""
356,Abatskoye,RU,25.16,overcast clouds,56.2875,70.4555,Gostinitsa Abatskaya
359,Sisimiut,GL,27.41,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
362,Nuuk,GL,34.41,light snow,64.1835,-51.7216,Vandrehuset
367,Nanortalik,GL,28.2,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
403,Pangnirtung,CA,23.0,clear sky,66.1451,-65.7125,Kilabuk Lodge
420,Kostomuksha,RU,33.57,light snow,64.571,30.5767,U Mikhailicha
422,Sharkan,RU,33.89,overcast clouds,57.2989,53.8712,Rodnichok
455,Strezhevoy,RU,21.0,broken clouds,60.7333,77.5889,Sibiryachka
456,Karasjok,NO,27.25,few clouds,69.4719,25.5112,Karasjok camping AS
477,Kjopsvik,NO,30.07,light snow,68.097,16.3742,Stetind Hotell
482,Gornyak,RU,30.2,overcast clouds,50.9942,81.4661,"Комфорт ""Danilo"""
488,Ust-Kulom,RU,33.06,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
493,Belyy Yar,RU,22.86,scattered clouds,53.6039,91.3903,Pasportnyy Stol
517,Skjervoy,NO,33.8,light snow,70.0311,20.9714,Tschudi Marine Services AS
587,Yar-Sale,RU,22.41,overcast clouds,66.8333,70.8333,Yalemd
605,Muromtsevo,RU,27.05,overcast clouds,56.3724,75.2418,Plyazh U Reki Tara
607,Kuusamo,FI,30.24,overcast clouds,65.9667,29.1833,Hotel Kuusanka
631,Kiruna,SE,25.72,scattered clouds,67.8557,20.2251,Camp Ripan
633,Verkhnyaya Sysert,RU,31.91,overcast clouds,56.4372,60.75,Hotel Greenwald
667,Balykshi,KZ,33.8,mist,47.0667,51.8667,Гостиница Golden Rose
679,Turukhansk,RU,20.26,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
689,Loukhi,RU,34.7,snow,66.0764,33.0381,Хостел Северяночка
