City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Situation
0,Grand Gaube,-20.0064,57.6608,70.38,77,8,3.0,MU,clear sky
1,Dikson,73.5069,80.5464,18.07,89,100,8.86,RU,overcast clouds
2,Maralal,1.0968,36.698,59.38,86,95,6.51,KE,light rain
3,Tasiilaq,65.6145,-37.6368,37.56,99,100,13.47,GL,moderate rain
4,Sturgeon Falls,46.3646,-79.9326,50.05,83,88,6.22,CA,overcast clouds
5,Durgapur,23.4833,87.3167,67.96,64,0,6.22,IN,clear sky
6,Ushuaia,-54.8,-68.3,37.06,87,100,21.85,AR,light rain
7,Bandarbeyla,9.4942,50.8122,76.71,75,24,8.81,SO,few clouds
8,Mormugao,15.4,73.8,76.26,78,40,4.61,IN,scattered clouds
9,Salinopolis,-0.6136,-47.3561,81.25,80,72,14.92,BR,broken clouds
10,Punta Arenas,-53.15,-70.9167,42.12,81,28,22.66,CL,scattered clouds
11,Chuy,-33.6971,-53.4616,64.27,78,14,6.82,UY,few clouds
12,Zambezi,-13.5432,23.1047,69.71,67,98,4.45,ZM,overcast clouds
13,Olinda,-8.0089,-34.8553,80.33,69,40,9.22,BR,scattered clouds
14,Panaba,21.2833,-88.2667,77.76,73,49,9.86,MX,scattered clouds
15,Saint-Philippe,-21.3585,55.7679,69.39,84,42,8.95,RE,scattered clouds
16,Saint-Georges,12.0564,-61.7485,82.08,83,75,16.11,GD,broken clouds
17,Stornoway,58.2093,-6.3865,57.16,87,75,17.27,GB,broken clouds
18,Umm Lajj,25.0213,37.2685,78.6,58,10,4.03,SA,clear sky
19,Cockburn Town,21.4612,-71.1419,82.36,69,40,6.91,TC,scattered clouds
20,Busselton,-33.65,115.3333,54.73,56,25,18.75,AU,scattered clouds
21,Bredasdorp,-34.5322,20.0403,60.28,81,100,6.38,ZA,overcast clouds
22,Sokolka,53.4072,23.5023,50.68,69,100,12.73,PL,overcast clouds
23,Bayreuth,49.9481,11.5783,61.47,91,100,1.99,DE,overcast clouds
24,Boende,-0.2167,20.8667,72.0,97,100,2.06,CD,overcast clouds
25,Urumqi,43.801,87.6005,29.35,80,0,0.0,CN,clear sky
26,Omaruru,-21.4333,15.9333,66.02,28,90,4.52,NA,overcast clouds
27,Kharp,66.8014,65.8081,21.45,97,100,1.97,RU,overcast clouds
28,San Ramon,37.7799,-121.978,74.82,42,0,13.8,US,clear sky
29,Araouane,18.9048,-3.5265,76.51,15,0,7.9,ML,clear sky
30,Codrington,-38.2667,141.9667,57.04,68,84,12.03,AU,broken clouds
31,Waddan,29.1614,16.139,63.68,57,25,5.84,LY,scattered clouds
32,Itaituba,-4.2761,-55.9836,84.29,48,100,0.83,BR,overcast clouds
33,Kulhudhuffushi,6.6221,73.07,80.73,70,67,4.85,MV,broken clouds
34,Iqaluit,63.7506,-68.5145,22.73,80,100,12.66,CA,light snow
35,San Martin,-33.081,-68.4681,88.34,23,100,10.6,AR,overcast clouds
36,Cidreira,-30.1811,-50.2056,68.76,93,100,5.86,BR,overcast clouds
37,Hagen,51.35,7.4667,65.05,65,100,1.99,DE,overcast clouds
38,Boca Do Acre,-8.7522,-67.3978,73.53,97,100,3.4,BR,overcast clouds
39,Longyearbyen,78.2186,15.6401,24.64,68,20,6.91,SJ,few clouds
40,Umm Kaddadah,13.6017,26.6876,79.41,21,78,15.55,SD,broken clouds
